ID,物件種別,物件名,販売価格,表面利回り,想定年間収入,所在地,交通：会社,交通：沿線,沿線：駅,徒歩,占有面積,建物構造,築年月,所在階,土地権利,建物面積（㎡）,土地面積（㎡）
1,1棟アパート,愛知県名古屋市一棟アパート,77800000,7,5450000,愛知県名古屋市千種区内山１丁目,JR東海,中央本線,千種駅,7,,木造,2013年03月,,所有権,200.62,119.58
2,1棟アパート,愛知県名古屋市一棟アパート,87800000,6.34,,愛知県名古屋市千種区桜が丘,,名古屋市営東山線,一社駅,8,,木造,2016年03月,,所有権,192.32,244.62
3,区分マンション,プレサンスジェネ千種内山2,18000000,4.53,816000,愛知県名古屋市千種区内山２丁目,,名古屋市営東山線,今池駅,2,25.96,RC造,2017年11月,8階／15階建て,,,
4,1棟商業ビル,千種区末盛通４丁目一棟売ビル,138000000,1.57,2179000,愛知県名古屋市千種区末盛通４丁目,,名古屋市営東山線,本山駅,3,,鉄骨造,1977年06月,,所有権,408.07,181.46
5,区分マンション,グランアルト東山,49800000,,,愛知県名古屋市千種区新池町１−１８−１,,名古屋市営東山線,東山公園駅,6,96.69,RC造,2001年03月,3階／7階建て地下1階,,,
6,1棟アパート,千種区今池南アパート,58000000,6.75,3920000,愛知県名古屋市千種区今池南,,名古屋市営桜通線,吹上駅,8,,鉄骨造,1994年05月,,所有権,195.34,112.72
7,区分マンション,【千種駅】徒歩圏内！名古屋市の収益区分マンションです,19500000,4.11,802000,愛知県名古屋市千種区新栄,,名古屋市営東山線,千種駅,5,25.11,RC造,2022年07月,4階／15階建て,,,
8,1棟マンション,小松マンション,120000000,7.87,9449000,愛知県名古屋市千種区今池５丁目1805,,名古屋市営東山線,今池駅,4,,RC造,1973年04月,,所有権,654.12,247.93
9,区分マンション,パルティール今池アネックス,14300000,5.7,816000,愛知県名古屋市千種区今池,,名古屋市営東山線,今池駅,5,24.33,RC造,2015年07月,5階／13階建て,,,
10,区分マンション,メゾン・ド・タンプル,4900000,,,愛知県名古屋市千種区新池町４−２−１,,名古屋市営東山線,東山公園駅,4,16.74,RC造,1985年09月,	2階／4階建て,,,
